Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit,Contact,Date1,Date2,Date3,Date4,Date9,Date10,Date11,Date12,Date17,Date19,Date20,Date21
1,cA-2016-152156,08-11-2016,11-11-2016,sEconD cLaSS,cG-12520,Claire GUTE,CoNsuMER,unITED sTAteS,henderSON,Kentucky,42420,SOUTH,FUR-BO-10001798,FUrNItuRE,BookcAses,BusH Somerset Collection BookcAse,261.96,2,0,41.9136,7896541256,13-07-2000,13-07-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,21-Aug-23,Aug-15-2023,14-Aug-23,21-Aug-23
2,cA-2016-152156,08-11-2016,11-11-2016,sEconD cLaSS,cG-12520,Claire GUTE,CoNsuMER,unITED sTAteS,henderSON,Kentucky,42420,SOUTH,FUR-CH-10000454,FUrNItuRE,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,7896541256,03-10-2000,03-10-2000,10-03-2000,02-07-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,22-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
3,cA-2016-138688,12-06-2016,16-06-2016,sEconD cLaSS,Dv-13045,DArrin VAN hUff,coRpoRAte,unITED sTAteS,loS anGELES,cAlifornia,90036,west,OFF-LA-10000240,OffICE SUpplIES,Labels,Self-Adhesive AddRess Labels for Typewriters by Universal,14.62,2,0,6.8714,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,23-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
4,us-2015-108966,11-10-2015,18-10-2015,standarD CLASS,SO-20335,SEAN O'doNNell,CoNsuMER,unITED sTAteS,Fort Lauderdale,Florida,33311,SOUTH,FUR-TA-10000577,FUrNItuRE,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,24-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
5,us-2015-108966,11-10-2015,18-10-2015,standarD CLASS,SO-20335,SEAN O'doNNell,CoNsuMER,unITED sTAteS,Fort Lauderdale,Florida,33311,SOUTH,OFF-ST-10000760,OffICE SUpplIES,StorAge,Eldon Fold 'N Roll cArt System,22.368,2,0.2,2.5164,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,25-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
6,cA-2014-115812,09-06-2014,14-06-2014,standarD CLASS,bh-11710,bROsiNA hOfFMan,CoNsuMER,unITED sTAteS,loS anGELES,cAlifornia,90032,west,FUR-FU-10001487,FUrNItuRE,FurnisHings,"Eldon Expressions Wood and Plastic Desk ACcessories, Cherry Wood",48.86,7,0,14.1694,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,26-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
7,cA-2014-115812,09-06-2014,14-06-2014,standarD CLASS,bh-11710,bROsiNA hOfFMan,CoNsuMER,unITED sTAteS,loS anGELES,cAlifornia,90032,west,OFF-AR-10002833,OffICE SUpplIES,Art,Newell 322,7.28,4,0,1.9656,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,27-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
8,cA-2014-115812,09-06-2014,14-06-2014,standarD CLASS,bh-11710,bROsiNA hOfFMan,CoNsuMER,unITED sTAteS,loS anGELES,cAlifornia,90032,west,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,28-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
9,cA-2014-115812,09-06-2014,14-06-2014,standarD CLASS,bh-11710,bROsiNA hOfFMan,CoNsuMER,unITED sTAteS,loS anGELES,cAlifornia,90032,west,OFF-BI-10003910,OffICE SUpplIES,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,29-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
10,cA-2014-115812,09-06-2014,14-06-2014,standarD CLASS,bh-11710,bROsiNA hOfFMan,CoNsuMER,unITED sTAteS,loS anGELES,cAlifornia,90032,west,OFF-AP-10002892,OffICE SUpplIES,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47,7896541256,13-10-2000,13-10-2000,2000-13-10,10-13-2000,05-06-2000,05-06-2000,06-05-2000,06/13/2000,30-Aug-23,Aug-2-2023,14-Aug-23,03-Aug-23
