STOREEXCEL/ StoreID,StoreName,YearOpened,Supplier/Party,Client/Customer,CustomerMobileNumber,BillDate,BillNo / Invoice,Category(CAT-1),SubCategory(CAT-2),ProductName,Color,BrandName,EmpID,EmployeeName,Designation,Target,Channel,City,State,Country,Region,TaxAmt,DiscountAmount,Quantity,MRP/UnitPrice,TotalProductCost,SalesAmount,BucketRange,UnitsIn,QtyOnHand
718,To You From Me,12/14/2019,Graphic Design Institute,Cody Goldstraw,8247955775,1/4/2019,2786451,Clothing,Shirts,Lewis Shirt,Yellow,Lewis,155,Samantha,Sales Representative,26954.1,Email,Duluth,South Carolina,USA,Americas,1413,495,24,1189,11825,29949,20000-30000,233,209
720,Hopscotch Toy Shop,12/14/2019,Graphic Design Institute,Maude Carine,8833248530,1/4/2019,2829234,Pesonal Care,Baby Care,Wet wipes,Yellow,johnson & johnson,165,Karen,Buyer,3313.2,Chatbot,Birmingham,Alabama,USA,Americas,1668,466,1,1344,6418,3012,0-10000,263,262
720,Hopscotch Toy Shop,12/14/2019,The Phone Company,Florentia Lomas,8651885007,2/4/2019,76795,Clothing,Tshirts,Red Tshirt XXL,Black,Roadster,141,Brian,Production Technician - WC40,25869.8,Call-Center,Birmingham,Florida,USA,Americas,2749,950,21,989,1686,23518,20000-30000,286,265
717,Log Cabin Keepsakes,12/15/2019,"Fabrikam, Inc.",Tricia Ettritch,8600465277,2/4/2019,3629972,Food,Dry Fruits,Cashew,Blue,ITC,156,Tawana,Purchasing Assistant,3422.1,Email,Columbus,Florida,USA,Americas,555,740,18,142,11776,3111,0-10000,317,299
719,The Treasure Box,12/14/2019,Humongous Insurance,Monika Collinwood,9052308590,2/4/2019,3766594,Clothing,Jackets,Red Jacket XS,White,Denim,155,Samantha,Production Technician - WC60,9563.4,Call-Center,Augusta,Florida,USA,Americas,666,912,6,1338,648,8694,0-10000,246,240
717,Log Cabin Keepsakes,12/15/2019,Graphic Design Institute,Shannon Penn,8971510894,6/4/2019,3685348,Kitchen Items,Spoons,Plastic Spoon,Multi,Kitchen cmpny,125,Bryan,Production Technician - WC260,14747.7,Web,Columbus,Georgia,USA,Americas,2708,983,13,823,10871,13407,10000-20000,280,267
720,Hopscotch Toy Shop,12/14/2019,Humongous Insurance,Darcy Cuncarr,8823467635,8/4/2019,2669132,Clothing,Tshirts,Blue TShirt S,Multi,U.S Polo.Assn,165,Karen,Production Technician - WC50,49256.9,Call-Center,Birmingham,South Carolina,USA,Americas,1291,295,24,1812,9424,44779,40000-50000,221,197
717,Log Cabin Keepsakes,12/15/2019,A Datum Corporation,Michal Chatelet,8502394477,8/4/2019,3704609,Footwear,Slippers,Gray Slippers XL,Black,Adidas,127,Eugene,Production Technician - WC60,9505.1,Email,Columbus,South Carolina,USA,Americas,253,925,6,1398,10973,8641,0-10000,362,356
720,Hopscotch Toy Shop,12/14/2019,Graphic Design Institute,Elysia Perigoe,8813137948,9/4/2019,2859076,Clothing,Tshirts,Orange Tshirt S,Red,Lewis,147,Yuhong,Senior Tool Designer,39180.9,Web,Birmingham,Florida,USA,Americas,255,844,21,1684,7561,35619,30000-40000,287,266
717,Log Cabin Keepsakes,12/15/2019,Humongous Insurance,Johannes Rubinsohn,8605995388,9/4/2019,3303250,Clothing,Jackets,Red Jacket S,Black,Denim,130,Sean,Production Technician - WC21,62366.7,Web,Columbus,Georgia,USA,Americas,2293,623,29,1876,7569,56697,50000-60000,297,268
721,A Bow On Top Gift Shop,12/14/2019,The Phone Company,Artus Mathivat,8979291886,9/4/2019,3637641,Packaging materials,Secondary Packaging,EPS Trays,Black,Packers and Movers,138,Cynthia,Sales Representative,12646.8,Email,Gainesville,Georgia,USA,Americas,2460,302,9,1288,8250,14052,10000-20000,238,229
721,A Bow On Top Gift Shop,12/14/2019,Nod Publishers,Otha de Werk,8214507227,10/4/2019,3576436,Furniture,Bench,Laptop Bench,Red,Furnitures.Co,168,Mikael,Janitor,16035.3,Chatbot,Gainesville,Florida,USA,Americas,2529,299,13,1176,1265,17817,10000-20000,376,363
718,To You From Me,12/14/2019,Northwind Electric Cars,Leanor Kerby,8361263317,11/4/2019,3701645,Clothing,Jackets,Red Jacket XL,Multi,Denim,159,Alex,Janitor,6164.1,Chatbot,Duluth,Alabama,USA,Americas,459,354,18,355,3507,6849,0-10000,243,225
718,To You From Me,12/14/2019,Trey Research,Hazel Sheed,8088911859,12/4/2019,368118,Pesonal Care,Face Care,Face Pack,Blue,johnson & johnson,142,David,Production Technician - WC45,12059.1,Email,Duluth,Georgia,USA,Americas,2707,945,11,972,2693,13399,10000-20000,207,196
719,The Treasure Box,12/14/2019,Graphic Design Institute,Michail Groneway,9151373028,12/4/2019,93133,Clothing,Boxers,Briefs L,Black,Jockey,127,Eugene,Purchasing Manager,34831.5,Call-Center,Augusta,South Carolina,USA,Americas,2540,665,25,1165,11368,31665,30000-40000,294,269
719,The Treasure Box,12/14/2019,"Litware, Inc.",Kennett Dimitriou,8973404753,12/4/2019,2594380,Kitchen Items,Mugs,Dev - OrangeMug_L,Silver,Kitchen cmpny,128,Barbara,Production Technician - WC80,4840,Web,Augusta,Georgia,USA,Americas,1632,302,2,1384,4562,4400,0-10000,276,274
721,A Bow On Top Gift Shop,12/14/2019,Woodgrove Bank,Bethina Fazzioli,9239508185,12/4/2019,2345691,Clothing,Jeans,Roadster Jeans,Multi,Roadster,146,Andy,Production Technician - WC30,19487.7,Chatbot,Gainesville,Florida,USA,Americas,2001,885,17,1156,12584,21653,20000-30000,365,348
717,Log Cabin Keepsakes,12/15/2019,"Contoso, Ltd.",Kaiser Skeemor,8313528273,13/4/2019,3717675,School Supplies,Drawing Accessories,Paint Brush,Blue,Class Mate,156,Tawana,Production Technician - WC15,29924.4,Web,Columbus,Florida,USA,Americas,1409,574,35,737,5920,27204,20000-30000,270,235
708,Brown Paper Packages Gift Shop,1/24/2020,Humongous Insurance,Nanete Jervois,9375656390,14/4/2019,3599105,Footwear,Slippers,Black Slippers S,Red,Adidas,163,Shane,Production Technician - WC69,16969.85,Chatbot,Daytona Beach,Alabama,USA,Americas,583,39,32,540,12360,17863,10000-20000,395,363
719,The Treasure Box,12/14/2019,Nod Publishers,Moise Milburn,8627355185,14/4/2019,2421496,Kitchen Items,Mugs,IT - GreenMug,Red,Kitchen cmpny,130,Sean,Janitor,21210.2,Web,Augusta,Florida,USA,Americas,1774,993,12,1459,10973,19282,10000-20000,259,247
712,Once Upon a Trinket,2/25/2020,Graphic Design Institute,Emalia Bestiman,8871165713,15/4/2019,2857600,School Supplies,Drawing Accessories,Pen,Black,Class Mate,155,Samantha,Production Technician - WC45,15459.3,Call-Center,Savannah,Georgia,USA,Americas,2297,161,16,930,11902,17177,10000-20000,354,338
716,The Warm House,12/15/2019,"Contoso, Ltd.",Candida Dunridge,9254385296,15/4/2019,2674866,Clothing,Hoodies,Hoodie full sleeves,White,Adidas,139,Kathie,Stocker,2200,Chatbot,Clearwater,Florida,USA,Americas,1962,19,19,2,10876,2000,0-10000,392,373
717,Log Cabin Keepsakes,12/15/2019,"Contoso, Ltd.",Dollie Hanton,9273301604,16/4/2019,3751744,Furniture,Sofa,Recliner,White,Furnitures.Co,143,Laura,Production Technician - WC220,64231.2,Web,Columbus,Florida,USA,Americas,117,272,35,1665,6758,58392,50000-60000,292,257
719,The Treasure Box,12/14/2019,Lucerne Publishing,Westleigh Bentzen,8320908431,17/4/2019,907473,Kitchen Items,Mugs,IT - WhiteMug,Blue,Kitchen cmpny,146,Andy,Production Technician - WC60,8517.3,Web,Augusta,Florida,USA,Americas,1471,229,28,224,10633,7743,0-10000,294,266
718,To You From Me,12/14/2019,A Datum Corporation,Yevette Bril,8296041282,17/4/2019,2807658,Kitchen Items,Glass,Plastic Glass,Red,Kitchen cmpny,148,Robert,Janitor,13323.6,Web,Duluth,Georgia,USA,Americas,2654,403,27,450,7674,14804,10000-20000,291,264
719,The Treasure Box,12/14/2019,"Contoso, Ltd.",Shell Duiguid,9311366804,17/4/2019,2008213,Kitchen Items,Mugs,Dev - RedMug_L,Multi,Kitchen cmpny,140,Britta,Production Technician - WC20,25784,Chatbot,Augusta,Florida,USA,Americas,2782,135,22,939,9369,23440,20000-30000,302,280
721,A Bow On Top Gift Shop,12/14/2019,Lucerne Publishing,Vinny Cahen,8881581268,18/4/2019,3477711,Food,Salt,Rock Salt,Multi,Sunwest Foods,152,James,Production Technician - WC10,18943.2,Email,Gainesville,Georgia,USA,Americas,2770,668,19,962,12578,21048,20000-30000,333,314
721,A Bow On Top Gift Shop,12/14/2019,Humongous Insurance,Lionello Tabram,8565105817,18/4/2019,880103,Novelty items,Plasma globe,plasma lamp ,Multi,Novelty items&co,169,Sameer,Facilities Administrative Assistant,23108.4,Chatbot,Gainesville,Florida,USA,Americas,2812,1005,16,1429,261,25676,20000-30000,217,201
